TIME,CH1
-15494.9219,8.171875
-15474.9219,8.109375
-15454.9219,7.890625
-15434.9219,7.96875
-15414.9219,8.15625
-15394.9219,8.078125
-15374.9219,7.875
-15354.9219,7.984375
-15334.9219,8.203125
-15314.9219,8.078125
-15294.9219,7.75
-15274.9219,7.9375
-15254.9219,8.484375
-15234.9219,8.21875
-15214.9219,6.53125
-15194.9219,4.453125
-15174.9219,3.53125
-15154.9219,3.84375
-15134.9219,4.265625
-15114.9219,4.125
-15094.9219,3.875
-15074.9219,3.953125
-15054.9219,4.125
-15034.9219,4.0625
-15014.9219,3.9375
-14994.9219,4
-14974.9219,4.109375
-14954.9219,4.046875
-14934.9219,3.90625
-14914.9219,4
-14894.9219,4.171875
-14874.9219,4.046875
-14854.9219,3.796875
-14834.9219,3.953125
-14814.9219,4.4375
-14794.9219,4.203125
-14774.9219,2.5625
-14754.9219,0.46875
-14734.9219,-0.5
-14714.9219,-0.15625
-14694.9219,0.296875
-14674.9219,0.125
-14654.9219,-0.171875
-14634.9219,-0.0625
-14614.9219,0.15625
-14594.9219,0.0625
-14574.9219,-0.078125
-14554.9219,0
-14534.9219,0.125
-14514.9219,0.046875
-14494.9219,-0.078125
-14474.9219,0
-14454.9219,0.125
-14434.9219,0.046875
-14414.9219,-0.09375
-14394.9219,-0.015625
-14374.9219,0.1875
-14354.9219,0.09375
-14334.9219,-0.25
-14314.9219,-0.171875
-14294.9219,0.640625
-14274.9219,1.59375
-14254.9219,2
-14234.9219,2.21875
-14214.9219,2.90625
-14194.9219,3.890625
-14174.9219,4.34375
-14154.9219,4.15625
-14134.9219,3.828125
-14114.9219,3.78125
-14094.9219,4.3125
-14074.9219,5.625
-14054.9219,7.21875
-14034.9219,8.1875
-14014.9219,8.1875
-13994.9219,7.921875
-13974.9219,7.96875
-13954.9219,8.09375
-13934.9219,8.03125
-13914.9219,7.96875
-13894.9219,8.03125
-13874.9219,8.0625
-13854.9219,8
-13834.9219,8
-13814.9219,8.0625
-13794.9219,8.03125
-13774.9219,7.96875
-13754.9219,8.015625
-13734.9219,8.078125
-13714.9219,8.03125
-13694.9219,7.96875
-13674.9219,8.015625
-13654.9219,8.0625
-13634.9219,8.015625
-13614.9219,7.96875
-13594.9219,8.03125
-13574.9219,8.0625
-13554.9219,8.015625
-13534.9219,7.96875
-13514.9219,8.03125
-13494.9219,8.078125
-13474.9219,8.015625
-13454.9219,7.96875
-13434.9219,8.03125
-13414.9219,8.078125
-13394.9219,8.015625
-13374.9219,7.96875
-13354.9219,8.03125
-13334.9219,8.078125
-13314.9219,8.015625
-13294.9219,7.96875
-13274.9219,8.046875
-13254.9219,8.09375
-13234.9219,8
-13214.9219,7.953125
-13194.9219,8.046875
-13174.9219,8.09375
-13154.9219,8
-13134.9219,7.953125
-13114.9219,8.03125
-13094.9219,8.09375
-13074.9219,8.03125
-13054.9219,7.953125
-13034.9219,7.96875
-13014.9219,8.09375
-12994.9219,8.203125
-12974.9219,7.765625
-12954.9219,6.46875
-12934.9219,4.8125
-12914.9219,3.859375
-12894.9219,3.84375
-12874.9219,4.078125
-12854.9219,4.140625
-12834.9219,4.125
-12814.9219,3.75
-12794.9219,2.53125
-12774.9219,0.828125
-12754.9219,-0.21875
-12734.9219,-0.203125
-12714.9219,0.203125
-12694.9219,0.265625
-12674.9219,-0.15625
-12654.9219,-0.84375
-12634.9219,-1.703125
-12614.9219,-2.6875
-12594.9219,-3.59375
-12574.9219,-4.109375
-12554.9219,-4.109375
-12534.9219,-3.90625
-12514.9219,-3.890625
-12494.9219,-4.046875
-12474.9219,-4.0625
-12454.9219,-3.890625
-12434.9219,-3.875
-12414.9219,-4.109375
-12394.9219,-4.1875
-12374.9219,-3.578125
-12354.9219,-2.40625
-12334.9219,-1.609375
-12314.9219,-1.8125
-12294.9219,-2.359375
-12274.9219,-2.09375
-12254.9219,-0.90625
-12234.9219,0.09375
-12214.9219,0.234375
-12194.9219,-0.03125
-12174.9219,-0.0625
-12154.9219,0.0625
-12134.9219,0.0625
-12114.9219,-0.015625
-12094.9219,0
-12074.9219,0.046875
-12054.9219,0.015625
-12034.9219,0
-12014.9219,0.03125
-11994.9219,0.03125
-11974.9219,0
-11954.9219,0.015625
-11934.9219,0.046875
-11914.9219,0.015625
-11894.9219,0
-11874.9219,0.03125
-11854.9219,0.046875
-11834.9219,0.015625
-11814.9219,0
-11794.9219,0.03125
-11774.9219,0.046875
-11754.9219,0.015625
-11734.9219,0
-11714.9219,0.03125
-11694.9219,0.046875
-11674.9219,0
-11654.9219,-0.015625
-11634.9219,0.03125
-11614.9219,0.046875
-11594.9219,0.015625
-11574.9219,0
-11554.9219,0
