TIME,CH1
-1.54800000e-08,4.06250000e-03
-1.54600000e-08,4.09375000e-03
-1.54400000e-08,3.98437500e-03
-1.54200000e-08,3.92187500e-03
-1.54000000e-08,4.04687500e-03
-1.53800000e-08,4.15625000e-03
-1.53600000e-08,4.00000000e-03
-1.53400000e-08,3.82812500e-03
-1.53200000e-08,4.01562500e-03
-1.53000000e-08,4.31250000e-03
-1.52800000e-08,4.06250000e-03
-1.52600000e-08,3.53125000e-03
-1.52400000e-08,3.85937500e-03
-1.52200000e-08,5.56250000e-03
-1.52000000e-08,7.54687500e-03
-1.51800000e-08,8.43750000e-03
-1.51600000e-08,8.23437500e-03
-1.51400000e-08,7.89062500e-03
-1.51200000e-08,7.89062500e-03
-1.51000000e-08,8.00000000e-03
-1.50800000e-08,8.09375000e-03
-1.50600000e-08,8.18750000e-03
-1.50400000e-08,8.01562500e-03
-1.50200000e-08,7.60937500e-03
-1.50000000e-08,7.89062500e-03
-1.49800000e-08,9.50000000e-03
-1.49600000e-08,1.15468750e-02
-1.49400000e-08,1.25000000e-02
-1.49200000e-08,1.22187500e-02
-1.49000000e-08,1.18437500e-02
-1.48800000e-08,1.19218750e-02
-1.48600000e-08,1.20312500e-02
-1.48400000e-08,1.20468750e-02
-1.48200000e-08,1.22500000e-02
-1.48000000e-08,1.21250000e-02
-1.47800000e-08,1.07656250e-02
-1.47600000e-08,8.56250000e-03
-1.47400000e-08,7.25000000e-03
-1.47200000e-08,7.70312500e-03
-1.47000000e-08,8.70312500e-03
-1.46800000e-08,8.39062500e-03
-1.46600000e-08,6.42187500e-03
-1.46400000e-08,4.28125000e-03
-1.46200000e-08,3.56250000e-03
-1.46000000e-08,4.10937500e-03
-1.45800000e-08,4.14062500e-03
-1.45600000e-08,2.54687500e-03
-1.45400000e-08,4.37500000e-04
-1.45200000e-08,-2.65625000e-04
-1.45000000e-08,3.90625000e-04
-1.44800000e-08,3.59375000e-04
-1.44600000e-08,-1.45312500e-03
-1.44400000e-08,-3.68750000e-03
-1.44200000e-08,-4.45312500e-03
-1.44000000e-08,-3.92187500e-03
-1.43800000e-08,-3.95312500e-03
-1.43600000e-08,-5.45312500e-03
-1.43400000e-08,-7.34375000e-03
-1.43200000e-08,-8.21875000e-03
-1.43000000e-08,-8.06250000e-03
-1.42800000e-08,-7.81250000e-03
-1.42600000e-08,-7.90625000e-03
-1.42400000e-08,-8.07812500e-03
-1.42200000e-08,-8.09375000e-03
-1.42000000e-08,-7.92187500e-03
-1.41800000e-08,-7.78125000e-03
-1.41600000e-08,-7.96875000e-03
-1.41400000e-08,-8.39062500e-03
-1.41200000e-08,-8.10937500e-03
-1.41000000e-08,-6.50000000e-03
-1.40800000e-08,-4.48437500e-03
-1.40600000e-08,-3.56250000e-03
-1.40400000e-08,-3.70312500e-03
-1.40200000e-08,-3.50000000e-03
-1.40000000e-08,-2.28125000e-03
-1.39800000e-08,-9.53125000e-04
-1.39600000e-08,-3.59375000e-04
-1.39400000e-08,-2.03125000e-04
-1.39200000e-08,2.03125000e-04
-1.39000000e-08,9.37500000e-04
-1.38800000e-08,1.76562500e-03
-1.38600000e-08,2.67187500e-03
-1.38400000e-08,3.64062500e-03
-1.38200000e-08,4.20312500e-03
-1.38000000e-08,4.15625000e-03
-1.37800000e-08,3.92187500e-03
-1.37600000e-08,3.93750000e-03
-1.37400000e-08,4.09375000e-03
-1.37200000e-08,4.07812500e-03
-1.37000000e-08,3.96875000e-03
-1.36800000e-08,3.98437500e-03
-1.36600000e-08,4.03125000e-03
-1.36400000e-08,4.07812500e-03
-1.36200000e-08,4.10937500e-03
-1.36000000e-08,3.93750000e-03
-1.35800000e-08,3.26562500e-03
-1.35600000e-08,2.21875000e-03
-1.35400000e-08,1.21875000e-03
-1.35200000e-08,4.68750000e-04
-1.35000000e-08,-3.12500000e-05
-1.34800000e-08,-1.56250000e-04
-1.34600000e-08,0.00000000e+00
-1.34400000e-08,1.40625000e-04
-1.34200000e-08,4.68750000e-05
-1.34000000e-08,-6.25000000e-05
-1.33800000e-08,-1.56250000e-05
-1.33600000e-08,7.81250000e-05
-1.33400000e-08,4.68750000e-05
-1.33200000e-08,-3.12500000e-05
-1.33000000e-08,-1.56250000e-05
-1.32800000e-08,6.25000000e-05
-1.32600000e-08,6.25000000e-05
-1.32400000e-08,-1.56250000e-05
-1.32200000e-08,-1.56250000e-05
-1.32000000e-08,4.68750000e-05
-1.31800000e-08,6.25000000e-05
-1.31600000e-08,0.00000000e+00
-1.31400000e-08,-1.56250000e-05
-1.31200000e-08,3.12500000e-05
-1.31000000e-08,6.25000000e-05
-1.30800000e-08,3.12500000e-05
-1.30600000e-08,-1.56250000e-05
-1.30400000e-08,-3.12500000e-05
-1.30200000e-08,7.81250000e-05
-1.30000000e-08,2.03125000e-04
-1.29800000e-08,-2.03125000e-04
-1.29600000e-08,-1.51562500e-03
-1.29400000e-08,-3.20312500e-03
-1.29200000e-08,-4.17187500e-03
-1.29000000e-08,-4.14062500e-03
-1.28800000e-08,-3.84375000e-03
-1.28600000e-08,-3.90625000e-03
-1.28400000e-08,-4.07812500e-03
-1.28200000e-08,-4.03125000e-03
-1.28000000e-08,-3.90625000e-03
-1.27800000e-08,-3.95312500e-03
